Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
441,2,200,cp_no_symmetry,0,959302600,73.977159544,facLoc_1000_100_10_5,0
443,2,200,cp_no_symmetry,2,961911210,71.591440782,facLoc_1000_100_10_5,0
444,2,200,cp_no_symmetry,1,959634110,68.849010092,facLoc_1000_100_10_5,0
445,2,200,cp_no_symmetry,3,961580340,27.121039879,facLoc_1000_100_10_5,0
446,2,200,cp_no_symmetry,4,959674390,24.555192713,facLoc_1000_100_10_5,0
447,2,201,cp_no_symmetry,1,921237000,64.72240136900001,facLoc_1000_100_16_3,0
448,2,201,cp_no_symmetry,0,921423000,77.456368712,facLoc_1000_100_16_3,0
449,2,201,cp_no_symmetry,4,919655000,45.952437234,facLoc_1000_100_16_3,0
450,2,201,cp_no_symmetry,3,919485000,45.530144862,facLoc_1000_100_16_3,0
451,2,202,cp_no_symmetry,0,924032178,52.448127474,facLoc_1000_100_16_8,0
452,2,201,cp_no_symmetry,2,921344000,110.703592971,facLoc_1000_100_16_3,0
453,2,202,cp_no_symmetry,2,924414354,45.955629723,facLoc_1000_100_16_8,0
454,2,202,cp_no_symmetry,1,923706236,72.043084159,facLoc_1000_100_16_8,0
455,2,203,cp_no_symmetry,0,933100000,25.429188705,facLoc_1000_100_19_1,0
456,2,203,cp_no_symmetry,1,932200000,23.011146160000003,facLoc_1000_100_19_1,0
457,2,202,cp_no_symmetry,4,924465515,104.425888027,facLoc_1000_100_16_8,0
458,2,202,cp_no_symmetry,3,926635105,92.889987566,facLoc_1000_100_16_8,0
459,2,203,cp_no_symmetry,4,931900000,26.781644053,facLoc_1000_100_19_1,0
460,2,204,cp_no_symmetry,1,878914294,395.5258027800001,facLoc_1000_20_76_8,0
461,2,203,cp_no_symmetry,2,930200000,26.902127032000003,facLoc_1000_100_19_1,0
462,2,204,cp_no_symmetry,0,881478507,142.895269737,facLoc_1000_20_76_8,0
463,2,203,cp_no_symmetry,3,931000000,18.278888537,facLoc_1000_100_19_1,0
464,2,204,cp_no_symmetry,4,877376212,205.684753314,facLoc_1000_20_76_8,0
465,2,204,cp_no_symmetry,3,876779256,318.8826101,facLoc_1000_20_76_8,0
466,2,205,cp_no_symmetry,0,873790000,17.873206248000002,facLoc_1000_20_79_3,0
467,2,204,cp_no_symmetry,2,879861189,173.17672344000002,facLoc_1000_20_76_8,0
468,2,205,cp_no_symmetry,2,874351000,75.05565493,facLoc_1000_20_79_3,0
469,2,205,cp_no_symmetry,1,876777000,52.671960248000005,facLoc_1000_20_79_3,0
470,2,205,cp_no_symmetry,3,876567000,47.226270651,facLoc_1000_20_79_3,0
471,2,206,cp_no_symmetry,1,877412280,55.142705353,facLoc_1000_20_81_5,0
472,2,206,cp_no_symmetry,0,876492190,58.385795162,facLoc_1000_20_81_5,0
473,2,205,cp_no_symmetry,4,874108000,14.013346594,facLoc_1000_20_79_3,0
474,2,207,cp_no_symmetry,0,894200000,1.6643395870000002,facLoc_1000_20_90_1,0
475,2,206,cp_no_symmetry,4,876574380,25.893046686,facLoc_1000_20_81_5,0
476,2,206,cp_no_symmetry,3,874280610,27.373157536,facLoc_1000_20_81_5,0
477,2,206,cp_no_symmetry,2,877601310,37.031710641,facLoc_1000_20_81_5,0
478,2,207,cp_no_symmetry,1,890400000,2.033525963,facLoc_1000_20_90_1,0
479,2,207,cp_no_symmetry,2,891400000,1.699805567,facLoc_1000_20_90_1,0
480,2,207,cp_no_symmetry,3,894200000,2.034450875,facLoc_1000_20_90_1,0
481,2,207,cp_no_symmetry,4,892500000,4.979454207000001,facLoc_1000_20_90_1,0
482,2,208,cp_no_symmetry,0,1113588100,140.575851722,facLoc_1000_250_4_5,0
483,2,208,cp_no_symmetry,1,1110208940,51.781357362,facLoc_1000_250_4_5,0
484,2,208,cp_no_symmetry,3,1111149540,51.343999547,facLoc_1000_250_4_5,0
485,2,208,cp_no_symmetry,2,1112920140,55.134144966,facLoc_1000_250_4_5,0
486,2,208,cp_no_symmetry,4,1110552790,52.34832878300001,facLoc_1000_250_4_5,0
487,2,209,cp_no_symmetry,0,1061307000,75.99333013200001,facLoc_1000_250_5_3,0
488,2,209,cp_no_symmetry,1,1062521000,61.93267555600001,facLoc_1000_250_5_3,0
489,2,209,cp_no_symmetry,2,1061683000,66.108292965,facLoc_1000_250_5_3,0
490,2,209,cp_no_symmetry,3,1060640000,86.47917990100001,facLoc_1000_250_5_3,0
491,2,210,cp_no_symmetry,2,1063997876,98.71861261,facLoc_1000_250_5_8,0
492,2,210,cp_no_symmetry,1,1063514012,100.586465136,facLoc_1000_250_5_8,0
493,2,209,cp_no_symmetry,4,1062856000,70.306629457,facLoc_1000_250_5_3,0
494,2,210,cp_no_symmetry,0,1063763854,78.91844593,facLoc_1000_250_5_8,0
495,2,210,cp_no_symmetry,3,1062299982,117.381151896,facLoc_1000_250_5_8,0
496,2,210,cp_no_symmetry,4,1062924732,72.65910841600001,facLoc_1000_250_5_8,0
497,2,211,cp_no_symmetry,1,1042200000,58.46588842800001,facLoc_1000_250_6_1,0
498,2,211,cp_no_symmetry,0,1045300000,56.413312350000005,facLoc_1000_250_6_1,0
499,2,211,cp_no_symmetry,2,1042700000,49.962166142,facLoc_1000_250_6_1,0
500,2,211,cp_no_symmetry,4,1040400000,93.400491467,facLoc_1000_250_6_1,0
501,2,211,cp_no_symmetry,3,1044700000,57.279087388,facLoc_1000_250_6_1,0
502,2,212,cp_no_symmetry,2,1363292000,967.672992577,facLoc_1000_500_2_3,0
