Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
500,2,300,scip_no_symmetry,0,-38832236902,78.781437,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0.op,0
501,2,300,scip_no_symmetry,1,-38832236902,75.991844,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0.op,0
502,2,300,scip_no_symmetry,2,-38832236902,79.040067,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0.op,0
503,2,300,scip_no_symmetry,3,-38832236902,81.833557,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0.op,0
505,2,300,scip_no_symmetry,4,-38832236902,76.576596,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0.op,0
504,2,301,scip_no_symmetry,0,-44194466661,96.440467,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1.op,0
506,2,301,scip_no_symmetry,1,-44194457912,106.000141,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1.op,0
507,2,301,scip_no_symmetry,2,-44194460917,108.418752,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1.op,0
508,2,301,scip_no_symmetry,3,-44194462047,96.538357,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1.op,0
509,2,301,scip_no_symmetry,4,-44194465066,83.613968,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1.op,0
511,2,302,scip_no_symmetry,0,-46224626847,132.189949,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0.op,0
512,2,302,scip_no_symmetry,1,-46224696455,113.241544,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0.op,0
513,2,302,scip_no_symmetry,2,-46224697488,116.256764,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0.op,0
510,2,302,scip_no_symmetry,3,-46224626847,113.980797,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0.op,0
514,2,302,scip_no_symmetry,4,-46224626847,127.71809,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0.op,0
516,2,303,scip_no_symmetry,0,-43673487310,318.762331,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1.op,0
515,2,303,scip_no_symmetry,1,-43673462702,89.385762,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1.op,0
518,2,303,scip_no_symmetry,2,-43673464561,132.496204,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1.op,0
519,2,303,scip_no_symmetry,3,-43673464255,127.526058,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1.op,0
517,2,303,scip_no_symmetry,4,-43673462702,96.827378,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1.op,0
520,2,304,scip_no_symmetry,0,-43593580360,29.319852,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0.op,0
