Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
2550,4,0,scip_no_symmetry,0,-1.284543e6,49.159904,ab51-40-100,0
2551,4,0,scip_no_symmetry,1,-1.277577e6,56.295968,ab51-40-100,0
2552,4,0,scip_no_symmetry,2,-1.277577e6,52.43841,ab51-40-100,0
2553,4,0,scip_no_symmetry,3,-1.277577e6,45.457802,ab51-40-100,0
2555,4,0,scip_no_symmetry,4,-1.277577e6,45.773551,ab51-40-100,0
2554,4,1,scip_no_symmetry,0,-1.156103e6,31.955817,ab67-40-100,0
2556,4,1,scip_no_symmetry,1,-1.16003e6,31.469924,ab67-40-100,0
2557,4,1,scip_no_symmetry,2,-1.162644e6,40.069619,ab67-40-100,0
2558,4,1,scip_no_symmetry,3,-1.158392e6,31.850229,ab67-40-100,0
2559,4,1,scip_no_symmetry,4,-1.162211e6,32.626668,ab67-40-100,0
2560,4,2,scip_no_symmetry,0,-1.157779e6,97.925705,ab69-40-100,0
2561,4,2,scip_no_symmetry,1,-1.157563e6,72.097552,ab69-40-100,0
2562,4,2,scip_no_symmetry,2,-1.152263e6,97.164947,ab69-40-100,0
2563,4,2,scip_no_symmetry,3,-1.15248e6,78.501695,ab69-40-100,0
2565,4,2,scip_no_symmetry,4,-1.157779e6,71.522329,ab69-40-100,0
2564,4,3,scip_no_symmetry,0,-1.919864e6,71.737747,ab71-20-100,0
2566,4,3,scip_no_symmetry,1,-1.919864e6,41.943783,ab71-20-100,0
2567,4,3,scip_no_symmetry,2,-1.919864e6,39.127365,ab71-20-100,0
2568,4,3,scip_no_symmetry,3,-1.919864e6,45.548252,ab71-20-100,0
2569,4,3,scip_no_symmetry,4,-1.919864e6,37.647691,ab71-20-100,0
2570,4,4,scip_no_symmetry,0,-1.181607e6,116.166073,ab72-40-100,0
2571,4,4,scip_no_symmetry,1,-1.174279e6,120.887424,ab72-40-100,0
2572,4,4,scip_no_symmetry,2,-1.174896e6,140.568229,ab72-40-100,0
2573,4,4,scip_no_symmetry,3,-1.17996e6,135.516519,ab72-40-100,0
2574,4,4,scip_no_symmetry,4,-1.179847e6,145.764938,ab72-40-100,0
2575,4,5,scip_no_symmetry,0,75547.0,0.770828,app2-1,0
2576,4,5,scip_no_symmetry,1,75547.0,0.759894,app2-1,0
2577,4,5,scip_no_symmetry,2,75547.0,0.884799,app2-1,0
2578,4,5,scip_no_symmetry,3,75547.0,0.6163219999999999,app2-1,0
2579,4,5,scip_no_symmetry,4,75547.0,1.002822,app2-1,0
2580,4,6,scip_no_symmetry,0,612933.0,0.34409799999999996,app2-2,0
2581,4,6,scip_no_symmetry,1,612936.0,0.379192,app2-2,0
2582,4,6,scip_no_symmetry,2,612936.0,0.33860399999999996,app2-2,0
2583,4,6,scip_no_symmetry,3,612936.0,0.372786,app2-2,0
2584,4,6,scip_no_symmetry,4,612936.0,0.35212499999999997,app2-2,0
2586,4,7,scip_no_symmetry,0,-3.912214e6,3600.003604,bab1,0
2585,4,7,scip_no_symmetry,1,-3.912109e6,3600.003388,bab1,0
2587,4,7,scip_no_symmetry,2,-3.918655e6,3600.000701,bab1,0
2588,4,7,scip_no_symmetry,3,-3.914832e6,3600.000988,bab1,0
2589,4,7,scip_no_symmetry,4,-3.918364e6,3600.000858,bab1,0
2591,4,8,scip_no_symmetry,0,-8.3242828e7,3600.002759,bab2,0
2590,4,8,scip_no_symmetry,1,-4.920626e6,3600.005461,bab2,0
2592,4,8,scip_no_symmetry,2,-4.972861e6,3600.035537,bab2,0
2593,4,8,scip_no_symmetry,3,-8.3324291e7,3605.421827,bab2,0
2594,4,8,scip_no_symmetry,4,-4.911981e6,3602.002491,bab2,0
2595,4,9,scip_no_symmetry,0,-8.3324083e7,3600.202345,bab3,0
2596,4,9,scip_no_symmetry,1,-8.3324083e7,3600.011977,bab3,0
2597,4,9,scip_no_symmetry,2,-8.3324083e7,3600.015895,bab3,0
2598,4,9,scip_no_symmetry,3,-8.3324083e7,3600.208957,bab3,0
2599,4,9,scip_no_symmetry,4,-8.3324083e7,3600.012956,bab3,0
2600,4,10,scip_no_symmetry,0,-1.2351496e7,1071.832018,bab5,0
2601,4,10,scip_no_symmetry,1,-1.2368842e7,1104.454175,bab5,0
2602,4,10,scip_no_symmetry,2,-1.2377507e7,2556.028334,bab5,0
2603,4,10,scip_no_symmetry,3,-1.2383162e7,1025.946543,bab5,0
2604,4,10,scip_no_symmetry,4,-1.2366341e7,2288.133112,bab5,0
2605,4,11,scip_no_symmetry,0,-9.3337314e7,3600.012755,bab6,0
2607,4,11,scip_no_symmetry,1,-6.117714e6,3600.009233,bab6,0
2606,4,11,scip_no_symmetry,2,-9.0663363e7,3600.014347,bab6,0
2609,4,11,scip_no_symmetry,3,-8.9780844e7,3600.019251,bab6,0
2608,4,11,scip_no_symmetry,4,-5.961842e6,3600.025754,bab6,0
2610,4,12,scip_no_symmetry,0,1.474935e6,3600.00411,co-100,0
2611,4,12,scip_no_symmetry,1,1.474677e6,2771.292105,co-100,0
2612,4,12,scip_no_symmetry,2,1.474632e6,3427.153922,co-100,0
2613,4,12,scip_no_symmetry,3,1.47473e6,2477.260405,co-100,0
2614,4,12,scip_no_symmetry,4,1.474815e6,3600.002746,co-100,0
2615,4,13,scip_no_symmetry,0,3.313365e6,3600.017071,ds-big,0
2616,4,13,scip_no_symmetry,1,3.313365e6,3600.01447,ds-big,0
2617,4,13,scip_no_symmetry,2,3.313365e6,3600.013789,ds-big,0
2618,4,13,scip_no_symmetry,3,3.313365e6,3600.017746,ds-big,0
2619,4,13,scip_no_symmetry,4,1.821516e6,3600.014219,ds-big,0
2620,4,14,scip_no_symmetry,0,1.990715e6,3600.093745,ds,0
2621,4,14,scip_no_symmetry,1,1.452719e6,3600.151533,ds,0
2622,4,14,scip_no_symmetry,2,1.403702e6,3600.0387,ds,0
2623,4,14,scip_no_symmetry,3,1.857441e6,3600.010388,ds,0
2624,4,14,scip_no_symmetry,4,1.696269e6,3600.023242,ds,0
2626,4,15,scip_no_symmetry,0,91439.0,2867.020304,eilC76-2,0
2625,4,15,scip_no_symmetry,1,91440.0,2734.073127,eilC76-2,0
2627,4,15,scip_no_symmetry,2,91439.0,2911.231936,eilC76-2,0
2628,4,15,scip_no_symmetry,3,91440.0,3232.033536,eilC76-2,0
2630,4,15,scip_no_symmetry,4,91440.0,3076.495683,eilC76-2,0
2629,4,16,scip_no_symmetry,0,204768.0,32.17938,irp,0
2631,4,16,scip_no_symmetry,1,204794.0,43.233453,irp,0
2632,4,16,scip_no_symmetry,2,204786.0,50.813968,irp,0
